category,cluster
"Accountancy","Administration, Business, & Management"
"Administration and Management General","Administration, Business, & Management"
"Advisory Services","Administration, Business, & Management"
"Arts Administration","Administration, Business, & Management"
"Buying","Administration, Business, & Management"
"Business, Management, Admin and Support","Administration, Business, & Management"
"Call Centres","Administration, Business, & Management"
"Facilities Management","Administration, Business, & Management"
"Financial Services","Administration, Business, & Management"
"Human Resource Management","Administration, Business, & Management"
"Patent Work","Administration, Business, & Management"
"Retail and Sales","Administration, Business, & Management"
"Architecture","Construction, Property, & Engineering Trades"
"Building Technology and Management","Construction, Property, & Engineering Trades"
"Civil and Structural Engineering","Construction, Property, & Engineering Trades"
"Construction Crafts","Construction, Property, & Engineering Trades"
"General Services","Construction, Property, & Engineering Trades"
"Interior Design or Display","Construction, Property, & Engineering Trades"
"Landscape Architecture","Construction, Property, & Engineering Trades"
"Property Services","Construction, Property, & Engineering Trades"
"Surveying","Construction, Property, & Engineering Trades"
"Town and Regional Planning","Construction, Property, & Engineering Trades"
"Computing General","Digital, Tech, & Computing"
"Digital and Technology","Digital, Tech, & Computing"
"IT Security","Digital, Tech, & Computing"
"IT Support","Digital, Tech, & Computing"
"Programming and Development","Digital, Tech, & Computing"
"Systems and Networks","Digital, Tech, & Computing"
"Web and Multimedia","Digital, Tech, & Computing"
"Aeronautical Engineering,Manufacturing & Industrial Engineering"
"Chemical and Materials Engineering","Manufacturing & Industrial Engineering"
"Chemistry and Materials Science","Manufacturing & Industrial Engineering"
"Electrical and Electronic Engineering","Manufacturing & Industrial Engineering"
"Engineering General","Manufacturing & Industrial Engineering"
"Engineers and Engineering Operatives or Technicians","Manufacturing & Industrial Engineering"
"Manufacturing General","Manufacturing & Industrial Engineering"
"Mechanical and Manufacturing Engineering (including Fabrication and Welding)","Manufacturing & Industrial Engineering"
"Naval Architecture and Marine Engineering","Manufacturing & Industrial Engineering"
"Offshore and Energy","Energy & Offshore"
"Offshore Based","Energy & Offshore"
"Subsurface Scientists","Energy & Offshore"
"Alternative Medicine","Healthcare & Medical Services"
"Ambulance Services","Healthcare & Medical Services"
"Dentistry","Healthcare & Medical Services"
"Dietetics","Healthcare & Medical Services"
"Medical Technology","Healthcare & Medical Services"
"Medicine and Surgery","Healthcare & Medical Services"
"Nursing and Auxiliary Work","Healthcare & Medical Services"
"Occupational Therapy","Healthcare & Medical Services"
"Ophthalmics and Orthoptics","Healthcare & Medical Services"
"Pharmacy","Healthcare & Medical Services"
"Physiotherapy","Healthcare & Medical Services"
"Podiatry","Healthcare & Medical Services"
"Radiography","Healthcare & Medical Services"
"Speech Therapy","Healthcare & Medical Services"
"Therapists","Healthcare & Medical Services"
"Wellbeing","Healthcare & Medical Services"
"Armed Services","Education, Social, & Public Services"
"Childcare and Education","Education, Social, & Public Services"
"College or University Lecturing","Education, Social, & Public Services"
"Community Work","Education, Social, & Public Services"
"Education Support","Education, Social, & Public Services"
"Emergency Services","Education, Social, & Public Services"
"Law (Professional)","Education, Social, & Public Services"
"Legal Support Services","Education, Social, & Public Services"
"Police and Security Work","Education, Social, & Public Services"
"Politics","Education, Social, & Public Services"
"Primary School Teaching","Education, Social, & Public Services"
"Prison Work","Education, Social, & Public Services"
"Public Services Administration","Education, Social, & Public Services"
"Secondary School Teaching","Education, Social, & Public Services"
"Social Work or Social Care","Education, Social, & Public Services"
"Teaching - Other","Education, Social, & Public Services"
"3 Dimensional Design","Creative, Media, & Culture"
"Advertising, Marketing and PR","Creative, Media, & Culture"
"Clothing and Textiles","Creative, Media, & Culture"
"Culture and Heritage","Creative, Media, & Culture"
"Drama and Theatre Technology","Creative, Media, & Culture"
"Fashion or Textile Design","Creative, Media, & Culture"
"Fine Art or Graphic Design","Creative, Media, & Culture"
"Journalism","Creative, Media, & Culture"
"Libraries and Information Science","Creative, Media, & Culture"
"Media and Broadcasting","Creative, Media, & Culture"
"Music","Creative, Media, & Culture"
"Music Technology","Creative, Media, & Culture"
"Photography","Creative, Media, & Culture"
"Printing","Creative, Media, & Culture"
"Publishing and Writing","Creative, Media, & Culture"
"Agriculture","Science & Environment"
"Aquaculture and Fishing","Science & Environment"
"Arboriculture and Forestry,Science & Environment"
"Biology","Science & Environment"
"Earth Studies","Science & Environment"
"Environment, Health and Safety","Science & Environment"
"Environmental and Rural Resource Management","Science & Environment"
"Environmental Services","Science & Environment"
"Food Science and Technology","Science & Environment"
"Horticulture and Landscaping","Science & Environment"
"Mathematics and Statistics","Science & Environment"
"Physics","Science & Environment"
"Science General","Science & Environment"
"Sports Science","Science & Environment"
"Work with Animals","Science & Environment"
"Air Transport","Transport, Travel, & Hospitality"
"Beauty","Transport, Travel, & Hospitality"
"Distribution","Transport, Travel, & Hospitality"
"Food and Drink Manufacturing","Transport, Travel, & Hospitality"
"Hairdressing","Transport, Travel, & Hospitality"
"Hospitality","Transport, Travel, & Hospitality"
"Languages","Transport, Travel, & Hospitality"
"Leisure","Transport, Travel, & Hospitality"
"Personal Services","Transport, Travel, & Hospitality"
"Rail Transport","Transport, Travel, & Hospitality"
"Road Transport","Transport, Travel, & Hospitality"
"Sea Transport","Transport, Travel, & Hospitality"
"Sport and Fitness","Transport, Travel, & Hospitality"
"Sports Performance","Transport, Travel, & Hospitality"
"Travel and Tourism","Transport, Travel, & Hospitality"
"Vehicle Maintenance and Repair","Transport, Travel, & Hospitality"
"Vehicle Related Services","Transport, Travel, & Hospitality"